Original Price,Link,Name,Price,Reviews,Rating
$438.00,https://shopee.sg/Logitech-Powerplay-Bundle-Logitech-G502-G903-G-PRO-Wireless-G703-Gaming-Mouse-G-PRO-X-Superlight-i.3959595.12168969947?sp_atk=ec574120-a335-4715-bc4d-e5ed754c517a&xptdk=ec574120-a335-4715-bc4d-e5ed754c517a,Logitech Powerplay Bundle + Logitech G502/G903/G PRO Wireless/G703 Gaming Mouse/G PRO X Superlight,278.00,,5
,https://www.amazon.sg/Logitech-Lightspeed-Wireless-Gaming-Mouse/dp/B0BCJVJ5FP/ref=sr_1_18?keywords=Gaming+Mouse&qid=1706844053&sr=8-18,Logitech G502 X Plus Lightspeed Wireless RGB Gaming Mouse - Black,179.34,73,4.5
,https://www.amazon.sg/Razer-Naga-Wireless-Gaming-Mouse/dp/B08D27XXRY/ref=sr_1_27?keywords=Gaming+Mouse&qid=1706844053&sr=8-27,"Razer Naga Pro Wireless Gaming Mouse: Interchangeable Side Plate w/ 2, 6, 12 Button Configurations - Focus+ 20K DPI Optical Sensor - Fastest Gaming Mouse Switch - Chroma RGB Lighting",144.16,"18,287",4.5
,https://www.amazon.sg/Logitech-Lightspeed-PowerPlay-Compatible-Lightsync/dp/B07L4BM851/ref=sr_1_16?keywords=Gaming+Mouse&qid=1706844053&sr=8-16,"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",126.88,"11,102",4.7
199.00,https://www.amazon.sg/Logitech-Wireless-Gaming-Esports-Performance/dp/B07GCKQD77/ref=sr_1_13?keywords=Gaming+Mouse&qid=1706844053&sr=8-13,"Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance, Black",104.77,"11,762",4.7
121.00,https://www.amazon.sg/Logitech-G502-X-Gaming-Mouse/dp/B0BCJRPHMY/ref=sr_1_19?keywords=Gaming+Mouse&qid=1706844053&sr=8-19,Logitech G502 X Gaming Mouse,82.92,47,4.5
109.90,https://www.amazon.sg/Razer-Basilisk-Customizable-Ergonomic-Gaming/dp/B09C13PZX7/ref=sr_1_15?keywords=Gaming+Mouse&qid=1706844053&sr=8-15,Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,73.28,"5,351",4.7
109.90,https://www.amazon.sg/Razer-Basilisk-Ergonomic-HyperScroll-RZ01-04000100-R3M1/dp/B097F8H1MC/ref=sr_1_9?keywords=Gaming+Mouse&qid=1706844053&sr=8-9,"Razer Basilisk V3 Chroma Ergonomic Gaming Mouse HyperScroll Wheel 26K DPI,Black,RZ01-04000100-R3M1",66.99,"5,022",4.7
$129.00,https://shopee.sg/Logitech-G502-HERO-RGB-Gaming-Mouse-with-tuneable-weight-i.24889654.8073365029?sp_atk=870abaf8-98b0-4d69-9f24-4402f06a418a&xptdk=870abaf8-98b0-4d69-9f24-4402f06a418a,Logitech G502 HERO RGB Gaming Mouse with tuneable weight,57.90,,4.9
427.78,https://www.lazada.sg/products/logitech-g-pro-x-superlight-wireless-gaming-mouse-black-white-magenta-red-i1422152990.html,Logitech G Pro X Superlight Wireless Gaming Mouse - Black / White / Magenta / Red,54.00,744,5
89.90,https://www.amazon.sg/Razer-RZ01-03150100-R3A1-Basilisk-Hyperspeed-Wireless/dp/B082YF43GQ/ref=sr_1_26?keywords=Gaming+Mouse&qid=1706844053&sr=8-26,Razer RZ01-03150100-R3A1 Basilisk X Hyperspeed Wireless Gaming Mouse,53.46,"1,892",4.4
,https://shopee.sg/Logitech-G304-G305-Lightspeed-Wireless-Gaming-Mouse-1ms-i.406582.3022400620?sp_atk=92e208a4-4ec0-4131-bdb4-d1479efc19ba&xptdk=92e208a4-4ec0-4131-bdb4-d1479efc19ba,Logitech G304 / G305 Lightspeed Wireless Gaming Mouse 1ms,49.50,,4.8
$79.00,https://shopee.sg/Logitech-G304-Lightspeed-Wireless-Gaming-Mouse-With-Hero-12K-Sensor-i.24889654.10704933065?sp_atk=09c28cc1-6e41-4c41-b694-dbdcb0bf9aa5&xptdk=09c28cc1-6e41-4c41-b694-dbdcb0bf9aa5,Logitech G304 Lightspeed Wireless Gaming Mouse With Hero 12K Sensor,48.50,,5.0
79.00,https://www.amazon.sg/SteelSeries-62513-Rival-Gaming-Mouse/dp/B08176SM7C/ref=sr_1_20?keywords=Gaming+Mouse&qid=1706844053&sr=8-20,"SteelSeries 62513 Rival 3 Gaming Mouse, Black,Wired",43.93,"5,113",4.6
,,Rapoo VT9PRO Wireless Gaming Mouse Esports Grade 68g Ultra-Light 26000DPI 8 Buttons Optical PAW3398 Computer Mouse For Laptop PC,43.63,,No Rating
,,Delux M800PRO PAW3370 RGB Optical Wireless Gaming Mouse 19000 DPI Wired Programmable Ergonomic Mice Rechargeable For Windows Mac,39.29,,No Rating
,,AJAZZ AJ139 Pro Wireless Mouse with Feets PMW3395 Gaming Chipset 26000dpi Professional Gaming Mouse for PC,37.13,,No Rating
