Name,Price,Original Price,Sold,Link,Star1,Star2,Star3,Star4,Star5,Rating
G703 Rechargeable Wireless Gaming Mouse 16000DPI RGB Optical Silent Mouse,14.72,$29.43,49 sold,https://shopee.sg/G703-Rechargeable-Wireless-Gaming-Mouse-16000DPI-RGB-Optical-Silent-Mouse-i.67017307.15696295304?sp_atk=02cb1723-6738-49ce-9412-4d49d5b65367&xptdk=02cb1723-6738-49ce-9412-4d49d5b65367,100,100,100,92.3077,0,3.9
Logitech G304 Lightspeed Wireless Gaming Mouse With Hero 12K Sensor,48.50,$79.00,660 sold,https://shopee.sg/Logitech-G304-Lightspeed-Wireless-Gaming-Mouse-With-Hero-12K-Sensor-i.24889654.10704933065?sp_atk=09c28cc1-6e41-4c41-b694-dbdcb0bf9aa5&xptdk=09c28cc1-6e41-4c41-b694-dbdcb0bf9aa5,100,100,100,100,95.1351,5.0
Wireless Gaming Mouse G304 G703 Wireless Silent Mice G306 G707 Wired Gaming Mouse G403 G402 G302 G102,3.60,$7.63,15 sold,https://shopee.sg/Wireless-Gaming-Mouse-G304-G703-Wireless-Silent-Mice-G306-G707-Wired-Gaming-Mouse-G403-G402-G302-G102-i.402326721.22354436438?sp_atk=927b9298-7bed-4dee-8f12-30cee0914fa3&xptdk=927b9298-7bed-4dee-8f12-30cee0914fa3,100,100,100,100,80,4.8
(Local stock)Razer DeathAdder Essential Gaming Mouse,27.90,,305 sold,https://shopee.sg/(Local-stock)Razer-DeathAdder-Essential-Gaming-Mouse-i.13010439.9204228951?sp_atk=98cddf17-71bf-4191-b73b-eac1ed965d78&xptdk=98cddf17-71bf-4191-b73b-eac1ed965d78,100,100,100,100,93.6842,4.9
Logitech G203 Lightsync RGB Wired Gaming Mouse With 8K Sensor-Black (wired mouse),29.00,$59.00,4.2k sold,https://shopee.sg/Logitech-G203-Lightsync-RGB-Wired-Gaming-Mouse-With-8K-Sensor-Black-(wired-mouse)-i.280663945.6940782146?sp_atk=0b6328ac-d8eb-4d2a-8a08-d3c20cbb6099&xptdk=0b6328ac-d8eb-4d2a-8a08-d3c20cbb6099,100,100,100,100,92.5764,4.9
TECWARE EXO WIRELESS 16K DPI - LIGHTWEIGHT GAMING DUAL CONNECTIVITY EXO WIRELESS / WIRED MOUSE,32.22,$33.98,429 sold,https://shopee.sg/TECWARE-EXO-WIRELESS-16K-DPI-LIGHTWEIGHT-GAMING-DUAL-CONNECTIVITY-EXO-WIRELESS-WIRED-MOUSE-i.288213245.14746557254?sp_atk=1f308bda-3623-4374-b75b-b9c397146e44&xptdk=1f308bda-3623-4374-b75b-b9c397146e44,100,100,100,100,97.037,5.0
Logitech G502 HERO RGB Gaming Mouse with tuneable weight,57.90,$129.00,888 sold,https://shopee.sg/Logitech-G502-HERO-RGB-Gaming-Mouse-with-tuneable-weight-i.24889654.8073365029?sp_atk=870abaf8-98b0-4d69-9f24-4402f06a418a&xptdk=870abaf8-98b0-4d69-9f24-4402f06a418a,100,100,100,100,94.2308,4.9
[SG] Razer Deathadder Essential Razer Gaming Mouse Wired 6400 DPI Optical Sensor Synapse Ergonomic RGB 1000Hz Polling,18.99,$49.00,6 sold,https://shopee.sg/-SG-Razer-Deathadder-Essential-Razer-Gaming-Mouse-Wired-6400-DPI-Optical-Sensor-Synapse-Ergonomic-RGB-1000Hz-Polling-i.177271595.20995322774?sp_atk=e5c16c44-da0d-49ed-a64b-3301eba58e1d&xptdk=e5c16c44-da0d-49ed-a64b-3301eba58e1d,100,100,100,100,100,5
Armaggeddon Mikoyan Foxbat 3 Rechargeable Wireless Gaming Mouse | 10000 CPI | 7 Color Pulsating Effect | Wireless 2.4G,24.90,$49.90,2.2k sold,https://shopee.sg/Armaggeddon-Mikoyan-Foxbat-3-Rechargeable-Wireless-Gaming-Mouse-10000-CPI-7-Color-Pulsating-Effect-Wireless-2.4G-i.11434776.7617342593?sp_atk=d09d311a-2113-4e9b-a334-bac62d41037f&xptdk=d09d311a-2113-4e9b-a334-bac62d41037f,100,100,100,100,80.221,4.8
Razer Viper Mini Lightweight Wired Mouse RGB Gaming Mouse 8500DPI 6 Buttons Chroma Optical Sensor Speedflex Game Mice,35.20,$44.00,18 sold,https://shopee.sg/Razer-Viper-Mini-Lightweight-Wired-Mouse-RGB-Gaming-Mouse-8500DPI-6-Buttons-Chroma-Optical-Sensor-Speedflex-Game-Mice-i.26913943.12631954214?sp_atk=d21ff81f-9274-49ef-862e-81a1a45da877&xptdk=d21ff81f-9274-49ef-862e-81a1a45da877,100,100,100,100,0,4
